,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
133,9.0,1.0,3.0,2.0,2.0,13.0,39.0,0.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,85.0,92.0,-3.0
134,17.0,2.0,3.0,2.0,1.0,12.0,9.0,31.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,85.0,37.0,8.0
136,4.0,2.0,2.0,2.0,1.0,13.0,7.0,32.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,417.0,278.0,-1.0
138,13.0,1.0,2.0,1.0,1.0,20.0,32.0,0.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,145.0,96.0,7.0
139,19.0,1.0,2.0,1.0,1.0,21.0,31.0,0.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,1.0,0.0,5.0
141,20.0,1.0,2.0,1.0,1.0,20.0,32.0,0.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,1.0,1.0,5.0
142,4.0,1.0,5.0,3.0,3.0,8.0,62.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,91.0,54.0,-2.0
143,1.0,1.0,4.0,3.0,3.0,26.0,44.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,504.0,240.0,-1.0
145,14.0,1.0,4.0,3.0,3.0,34.0,36.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,0.0,8.0,0.0
146,5.0,1.0,5.0,3.0,3.0,7.0,63.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,417.0,95.0,-3.0
147,15.0,1.0,4.0,3.0,3.0,11.0,59.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,73.0,52.0,3.0
148,3.0,1.0,4.0,3.0,3.0,33.0,37.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,504.0,264.0,0.0
149,17.0,1.0,3.0,4.0,4.0,45.0,25.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,73.0,21.0,8.0
150,20.0,1.0,3.0,4.0,4.0,39.0,31.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,0.0,20.0,3.0
152,7.0,1.0,5.0,3.0,3.0,16.0,54.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,91.0,37.0,0.0
153,9.0,1.0,3.0,4.0,4.0,48.0,22.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,417.0,278.0,4.0
154,2.0,1.0,4.0,3.0,3.0,28.0,42.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,739.0,413.0,1.0
155,11.0,1.0,5.0,3.0,3.0,3.0,67.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,145.0,96.0,0.0
157,6.0,2.0,4.0,3.0,5.0,30.0,37.0,3.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,739.0,326.0,2.0
158,19.0,2.0,4.0,3.0,3.0,8.0,30.0,32.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,1.0,1.0,1.0
159,12.0,1.0,3.0,4.0,4.0,33.0,37.0,0.0,0.0,82.51,0.18,5.2,17.0,70.0,4.43,57.0,14.0,-1.0
160,7.0,1.0,4.0,2.0,2.0,18.0,38.0,0.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,91.0,54.0,0.0
161,15.0,3.0,3.0,2.0,3.0,1.0,16.0,0.0,1.0,66.04,0.45,7.4,16.0,56.0,5.451,145.0,49.0,-3.0
162,3.0,2.0,3.0,2.0,3.0,18.0,17.0,21.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,504.0,240.0,0.0
163,13.0,1.0,3.0,2.0,2.0,25.0,31.0,0.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,57.0,43.0,4.0
164,10.0,2.0,4.0,2.0,3.0,8.0,27.0,21.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,0.0,8.0,-1.0
166,12.0,1.0,3.0,2.0,2.0,20.0,36.0,0.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,73.0,52.0,4.0
167,4.0,2.0,3.0,2.0,3.0,22.0,20.0,14.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,504.0,264.0,-1.0
168,16.0,2.0,3.0,2.0,4.0,20.0,24.0,12.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,73.0,21.0,4.0
169,9.0,2.0,4.0,2.0,3.0,9.0,24.0,23.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,0.0,20.0,-4.0
170,20.0,1.0,4.0,2.0,2.0,19.0,37.0,0.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,85.0,92.0,10.0
175,1.0,2.0,3.0,2.0,3.0,21.0,15.0,20.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,739.0,326.0,-1.0
177,19.0,2.0,4.0,3.0,3.0,7.0,23.0,26.0,0.0,66.04,0.45,7.4,16.0,56.0,5.451,57.0,14.0,4.0
178,8.0,1.0,3.0,2.0,2.0,16.0,37.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,91.0,54.0,-3.0
179,5.0,1.0,3.0,2.0,2.0,18.0,35.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,145.0,49.0,-4.0
180,7.0,2.0,3.0,2.0,4.0,25.0,26.0,2.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,504.0,240.0,2.0
181,12.0,1.0,2.0,3.0,3.0,31.0,22.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,57.0,43.0,5.0
182,9.0,1.0,4.0,2.0,2.0,17.0,36.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,417.0,95.0,-1.0
183,14.0,1.0,3.0,2.0,2.0,18.0,35.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,73.0,52.0,2.0
185,17.0,1.0,2.0,3.0,3.0,39.0,14.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,73.0,21.0,4.0
186,15.0,1.0,3.0,2.0,2.0,16.0,37.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,0.0,20.0,-2.0
187,11.0,1.0,3.0,2.0,2.0,25.0,28.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,85.0,92.0,-4.0
188,19.0,1.0,2.0,3.0,3.0,32.0,21.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,85.0,37.0,5.0
189,13.0,1.0,2.0,3.0,3.0,34.0,19.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,91.0,37.0,5.0
191,1.0,1.0,3.0,2.0,2.0,24.0,29.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,739.0,413.0,0.0
193,20.0,2.0,3.0,2.0,3.0,25.0,8.0,20.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,1.0,0.0,1.0
194,2.0,1.0,3.0,2.0,2.0,23.0,30.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,739.0,326.0,0.0
196,10.0,2.0,4.0,2.0,3.0,7.0,27.0,19.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,57.0,14.0,-6.0
197,20.0,1.0,2.0,4.0,4.0,46.0,24.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,91.0,54.0,6.0
198,7.0,1.0,4.0,2.0,2.0,28.0,42.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,145.0,49.0,-2.0
199,5.0,1.0,3.0,4.0,4.0,39.0,31.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,504.0,240.0,2.0
